feature,importance
EVENTS,0.10039976001410057
REMDATES,0.09497286085867902
PAYATTN,0.08781572023167461
SHOPPING,0.06685690287443262
TRAVEL,0.059059404061678374
BILLS,0.05215978251607017
GAMES,0.05153140476427302
MEALPREP,0.051071284438344466
HYPERTEN,0.044113945684002384
HYPERCHO,0.04116557625005776
STOVE,0.03906895762324116
TAXES,0.03800267725329822
VISITYR,0.02242331706666233
HEARING,0.01999494471315314
INDEPEND,0.019812597000110604
INSEX,0.015230684953318146
THYROID,0.013256222057178241
INEDUC,0.012959369557011442
NACCAGE,0.010782938999807791
NACCNIHR,0.009799711558200653
RACE,0.00818724907756322
INCONTF,0.007891523383112487
INCONTU,0.007817099824524667
VISION,0.007367646900494601
SEX,0.007192758739550856
DIABETES,0.006334786427361374
NACCAGEB,0.006199288247624939
INRELTO,0.005663110980350435
HEARAID,0.005637057045259127
NACCNINR,0.00506014895012472
HEARWAID,0.00505809399372309
DIABTYPE,0.004793570097585364
EDUC,0.004768903638346156
PACKSPER,0.004204986769581816
INCALLS,0.004109897561057839
INRACE,0.0038247154383065467
BIRTHYR,0.0034994815769877506
MARISTAT,0.002562811263422025
INBIRMO,0.002537341787275079
VISWCORR,0.002484984174420404
INBIRYR,0.002388788778752794
SMOKYRS,0.0023533597490382617
TOBAC100,0.0022871473942392274
INLIVWTH,0.002202353417413222
ARTHRIT,0.0020864515300466164
NACCLIVS,0.0020857823752888525
INVISITS,0.0018613145321621587
VISITMO,0.0017853483255369932
ALCFREQ,0.0017630691134431645
CVOTHR,0.0016520462955960942
BIRTHMO,0.0016464801274290116
VISCORR,0.0014952760120147584
VISITDAY,0.0012091626897637337
CVAFIB,0.001142919332795017
QUITSMOK,0.0011283222283453706
TRAUMBRF,0.0009939271937773131
ARTHTYPE,0.0008597749388764359
RESIDENC,0.0008136659852891457
INKNOWN,0.0007772041384114724
ALCOCCAS,0.0007009995831605081
HISPANIC,0.0006689808681823923
ARTHUPEX,0.0006157665849436565
CVANGIO,0.0006143730333080575
B12DEF,0.0005978485788985299
ARTHLOEX,0.0005787251937403686
HANDED,0.0005581289236322013
HISPOR,0.0004955995569020616
ARTHSPIN,0.0004917695467078954
CVHATT,0.00048028522625709265
PRIMLANG,0.00044276925184203293
INRELY,0.00041504358684417105
CVBYPASS,0.0004147416871591429
NCOTHR,0.00040285346012651317
ALCOHOL,0.00038853754450949207
TOBAC30,0.00038358228474934085
INHISP,0.00036708836715482944
CVPACE,0.0003464843381982588
CBTIA,0.00033045105341965005
APNEA,0.0003059190924255112
NACCSTYR,0.00030088022795059265
NACCTIYR,0.0002853596698816584
INHISPOR,0.0002796095469161862
TRAUMEXT,0.0002709963067535485
INSOMN,0.00026470079857436916
CBSTROKE,0.0002597958570088993
CVCHF,0.00021470895646796045
PDYR,0.00020625052942866592
PDOTHRYR,0.000189623295881627
SEIZURES,0.00018308791306353823
PDOTHR,0.00016381268515465043
PD,0.000161419798378677
RBD,0.00015687920571658134
RACESEC,0.00014651018853540336
TBI,0.00011102004499770086
TBIYEAR,0.00010581172700870281
TRAUMCHR,0.00010103984792409213
INRASEC,9.908471244316595e-05
TBIWOLOS,8.777725592349855e-05
ABUSOTHR,8.716184578758962e-05
OTHSLEEP,6.945429368509082e-05
TBIBRIEF,6.116747752413064e-05
ARTHUNK,5.303954296235967e-05
STROKMUL,4.743266755851928e-05
CVANGINA,4.5602019985818835e-05
TIAMULT,4.5594902212456366e-05
TBIEXTEN,3.886668476456454e-05
CVHVALVE,3.338879336663099e-05
RACETER,3.296840933233447e-05
CVPACDEF,3.249764740878191e-05
HATTMULT,2.6831089789811628e-05
HATTYEAR,2.2802345297486082e-05
INRATER,8.963439966300158e-06
