feature,importance
VISITMO,144
VISITDAY,138
VISITYR,563
BIRTHMO,246
BIRTHYR,622
SEX,81
HISPANIC,47
HISPOR,121
RACE,145
RACESEC,45
RACETER,6
PRIMLANG,82
EDUC,511
MARISTAT,135
NACCLIVS,94
INDEPEND,336
RESIDENC,110
HANDED,52
NACCAGE,1728
NACCAGEB,1623
NACCNIHR,106
INBIRMO,403
INBIRYR,599
INSEX,272
INHISP,38
INHISPOR,15
INRACE,48
INRASEC,2
INRATER,0
INEDUC,334
INRELTO,198
INKNOWN,110
INLIVWTH,82
INVISITS,100
INCALLS,129
INRELY,23
NACCNINR,166
TOBAC30,23
TOBAC100,23
SMOKYRS,185
PACKSPER,129
QUITSMOK,259
ALCOCCAS,6
ALCFREQ,21
CVHATT,42
HATTMULT,2
HATTYEAR,4
CVAFIB,59
CVANGIO,51
CVBYPASS,29
CVPACDEF,0
CVPACE,26
CVCHF,27
CVANGINA,8
CVHVALVE,5
CVOTHR,96
CBSTROKE,39
STROKMUL,4
NACCSTYR,93
CBTIA,52
TIAMULT,0
NACCTIYR,73
PD,4
PDYR,67
PDOTHR,9
PDOTHRYR,71
SEIZURES,28
TBI,5
TBIBRIEF,1
TRAUMBRF,89
TBIEXTEN,0
TRAUMEXT,24
TBIWOLOS,2
TRAUMCHR,9
TBIYEAR,13
NCOTHR,41
DIABETES,29
DIABTYPE,58
HYPERTEN,165
HYPERCHO,260
B12DEF,50
THYROID,111
ARTHRIT,36
ARTHTYPE,21
ARTHUPEX,28
ARTHLOEX,7
ARTHSPIN,6
ARTHUNK,0
INCONTU,121
INCONTF,115
APNEA,9
RBD,21
INSOMN,16
OTHSLEEP,11
ALCOHOL,32
ABUSOTHR,11
VISION,199
VISCORR,51
VISWCORR,70
HEARING,166
HEARAID,30
HEARWAID,59
BILLS,245
TAXES,234
SHOPPING,153
GAMES,225
STOVE,191
MEALPREP,200
EVENTS,178
PAYATTN,281
REMDATES,237
TRAVEL,151
