feature,importance
VISITMO,0.006042382450968252
VISITDAY,0.00674061432688442
VISITYR,0.024902203315087197
BIRTHMO,0.00653829336160353
BIRTHYR,0.010219025472735923
SEX,0.007183546877007547
HISPANIC,0.0013744688627569878
HISPOR,0.0016410721735444181
RACE,0.01022896483778121
RACESEC,0.0005474105305218615
RACETER,0.00017389314519042305
PRIMLANG,0.0013881958987783819
EDUC,0.01260632981892012
MARISTAT,0.004743573304326067
NACCLIVS,0.0037981852163757957
INDEPEND,0.015289045197082685
RESIDENC,0.0021228736898889836
HANDED,0.0016847565861679837
NACCAGE,0.01794555848276228
NACCAGEB,0.013312188905118542
NACCNIHR,0.01079816278548259
INBIRMO,0.007783082413959155
INBIRYR,0.009607173009320501
INSEX,0.02256968722575657
INHISP,0.000966004239445582
INHISPOR,0.000843177379067455
INRACE,0.0043467736231791705
INRASEC,0.000260878953392153
INRATER,4.76826658420311e-05
INEDUC,0.01653393610190872
INRELTO,0.007062969318938515
INKNOWN,0.002888164406451163
INLIVWTH,0.002794316829114199
INVISITS,0.004377656055812547
INCALLS,0.006220044843662905
INRELY,0.0007941447648786805
NACCNINR,0.007758570937516944
TOBAC30,0.00087676697235592
TOBAC100,0.003021339392565697
SMOKYRS,0.00536410080313871
PACKSPER,0.005695703940248667
QUITSMOK,0.004765681077983389
ALCOCCAS,0.0011151408216209808
ALCFREQ,0.002659911699300421
CVHATT,0.0011875320452597914
HATTMULT,0.00011177763419305292
HATTYEAR,0.00013809749694223167
CVAFIB,0.0020946529186439034
CVANGIO,0.001545991697724281
CVBYPASS,0.0012417060096690396
CVPACDEF,9.127398820966512e-05
CVPACE,0.000934383872547461
CVCHF,0.0006934173272593912
CVANGINA,0.00014792531788550303
CVHVALVE,0.00010348523037250675
CVOTHR,0.002900176613929036
CBSTROKE,0.0010153171621759623
STROKMUL,0.0001560987352171834
NACCSTYR,0.000979298064602492
CBTIA,0.001117190921736066
TIAMULT,0.00019332486472677232
NACCTIYR,0.0010952161191105031
PD,0.0004406418597769985
PDYR,0.0005640237953614295
PDOTHR,0.0005517551609359421
PDOTHRYR,0.0006420511510551318
SEIZURES,0.0007004998814336023
TBI,0.000413194889642444
TBIBRIEF,0.0002514957042186568
TRAUMBRF,0.002311884898739187
TBIEXTEN,0.00014407239373845346
TRAUMEXT,0.0007881598164873036
TBIWOLOS,0.0002639039350002829
TRAUMCHR,0.0003139510763089513
TBIYEAR,0.0004902418582879396
NCOTHR,0.0011698899411800448
DIABETES,0.0061064179702122355
DIABTYPE,0.005286328538506458
HYPERTEN,0.039548017427203264
HYPERCHO,0.04239817949528359
B12DEF,0.001791444899748771
THYROID,0.013503024531585368
ARTHRIT,0.0027886373668742437
ARTHTYPE,0.0014884632726937443
ARTHUPEX,0.001100193368656504
ARTHLOEX,0.0011843521465410706
ARTHSPIN,0.0006576911315589273
ARTHUNK,0.00011710110310831335
INCONTU,0.009584528150089736
INCONTF,0.0073821403773074385
APNEA,0.0008243498527691339
RBD,0.0003996086095807385
INSOMN,0.0006560126568053169
OTHSLEEP,0.00021269043796231076
ALCOHOL,0.0013287090200858086
ABUSOTHR,0.00038243667843404375
VISION,0.011946116346015827
VISCORR,0.0036611404359487114
VISWCORR,0.00387717664569586
HEARING,0.017573209235383556
HEARAID,0.0051839234926289255
HEARWAID,0.006055723788696705
BILLS,0.04188951151048562
TAXES,0.033072052892960654
SHOPPING,0.04554761747433273
GAMES,0.04378940593918054
STOVE,0.02810345929013495
MEALPREP,0.04318950326304292
EVENTS,0.07184666950585641
PAYATTN,0.07267260486931225
REMDATES,0.07898536395175558
TRAVEL,0.05343990922674535
