feature,importance
VISITMO,0.0012424593
VISITDAY,0.0007546548
VISITYR,0.010250911
BIRTHMO,0.0011747133
BIRTHYR,0.0032943448
SEX,0.00885351
HISPANIC,0.003068723
HISPOR,0.0048207263
RACE,0.010985943
RACESEC,0.0018328377
RACETER,0.0
PRIMLANG,0.0019605388
EDUC,0.010377895
MARISTAT,0.003576324
NACCLIVS,0.0025211459
INDEPEND,0.0071530836
RESIDENC,0.002007661
HANDED,0.001660691
NACCAGE,0.011912738
NACCAGEB,0.010652915
NACCNIHR,0.03214157
INBIRMO,0.0033199706
INBIRYR,0.0014039732
INSEX,0.0567302
INHISP,0.0024192194
INHISPOR,0.0010139248
INRACE,0.0011851465
INRASEC,0.0
INRATER,0.0
INEDUC,0.009798144
INRELTO,0.007698366
INKNOWN,0.0010641075
INLIVWTH,0.0043224543
INVISITS,0.0035296883
INCALLS,0.0017182083
INRELY,0.014162941
NACCNINR,0.0051496895
TOBAC30,0.0011075374
TOBAC100,0.0011612398
SMOKYRS,0.001096016
PACKSPER,0.0012085296
QUITSMOK,0.0012935202
ALCOCCAS,0.00066685176
ALCFREQ,0.0010769544
CVHATT,0.001992818
HATTMULT,0.0
HATTYEAR,0.001058948
CVAFIB,0.0037765934
CVANGIO,0.0031451287
CVBYPASS,0.0023085654
CVPACDEF,0.0
CVPACE,0.0013034913
CVCHF,0.002725762
CVANGINA,0.0004749927
CVHVALVE,0.0011434664
CVOTHR,0.0036988892
CBSTROKE,0.00036999045
STROKMUL,0.0010255201
NACCSTYR,0.0013599868
CBTIA,0.0015139282
TIAMULT,0.0
NACCTIYR,0.0015863278
PD,0.0015241072
PDYR,0.0015116078
PDOTHR,0.0015682682
PDOTHRYR,0.0014269166
SEIZURES,0.0013295814
TBI,0.00077015173
TBIBRIEF,0.0
TRAUMBRF,0.004924947
TBIEXTEN,0.0009848194
TRAUMEXT,0.0014959518
TBIWOLOS,0.0
TRAUMCHR,0.0010387939
TBIYEAR,0.0006267858
NCOTHR,0.0028349082
DIABETES,0.0011837991
DIABTYPE,0.0014512596
HYPERTEN,0.056151576
HYPERCHO,0.062318847
B12DEF,0.0009675402
THYROID,0.01891099
ARTHRIT,0.0049076267
ARTHTYPE,0.0023236626
ARTHUPEX,0.003976415
ARTHLOEX,0.0027815877
ARTHSPIN,0.0014248064
ARTHUNK,0.0
INCONTU,0.017252665
INCONTF,0.004398406
APNEA,0.00075361907
RBD,0.0017613102
INSOMN,0.0
OTHSLEEP,0.0012854207
ALCOHOL,0.0010541758
ABUSOTHR,0.0020438214
VISION,0.032386918
VISCORR,0.0030873648
VISWCORR,0.003459746
HEARING,0.04314451
HEARAID,0.0029540928
HEARWAID,0.0019568712
BILLS,0.021386685
TAXES,0.010744441
SHOPPING,0.07846519
GAMES,0.015483601
STOVE,0.032594778
MEALPREP,0.026232606
EVENTS,0.101855375
PAYATTN,0.09729607
REMDATES,0.017222188
TRAVEL,0.027890747
